date;count
2022-07-18 00:00:00;6
2022-08-18 00:00:00;9
2022-09-18 00:00:00;11
2022-10-18 00:00:00;12
2022-11-18 00:00:00;92
2022-12-18 00:00:00;111
2023-01-18 00:00:00;143
2023-02-18 00:00:00;245
2023-03-18 00:00:00;309
2023-04-18 00:00:00;395
2023-05-18 00:00:00;474
2023-06-18 00:00:00;650
2023-07-18 00:00:00;1397
2023-08-18 00:00:00;1904
2023-09-18 00:00:00;2591
2023-10-18 00:00:00;3600
2023-11-18 00:00:00;4221
2023-12-18 00:00:00;4848
2024-01-18 00:00:00;5243
2024-02-18 00:00:00;5637
2024-03-18 00:00:00;5941
2024-04-18 00:00:00;6263
2024-05-18 00:00:00;6464
2024-06-18 00:00:00;6671
