               date   count
2023-12-21 00:00:00 1754937
2023-12-26 00:00:00 3181890
2023-12-31 00:00:00 3197696
2024-01-05 00:00:00 3207990
2024-01-10 00:00:00 3409008
2024-01-15 00:00:00 4579007
2024-01-20 00:00:00 4473014
2024-01-25 00:00:00 3713913
2024-01-30 00:00:00 3337817
2024-02-04 00:00:00 3412540
2024-02-09 00:00:00 3984506
2024-02-14 00:00:00 3920209
2024-02-19 00:00:00 3692012
2024-02-24 00:00:00 4309754
2024-02-29 00:00:00 4595589
2024-03-05 00:00:00 4501925
2024-03-10 00:00:00 5200993
2024-03-15 00:00:00 5509498
2024-03-20 00:00:00 4443558
2024-03-25 00:00:00 4136247
2024-03-30 00:00:00 3321394
2024-04-04 00:00:00 2991387
2024-04-09 00:00:00 3221543
2024-04-14 00:00:00 3493798
2024-04-19 00:00:00 4079315
2024-04-24 00:00:00 3247321
2024-04-29 00:00:00 3046025
2024-05-04 00:00:00 3597622
2024-05-09 00:00:00 3851023
2024-05-14 00:00:00 3367555
2024-05-19 00:00:00 2949504
2024-05-24 00:00:00 3126448
2024-05-29 00:00:00 2441892
2024-06-03 00:00:00 2651442
2024-06-08 00:00:00 2920415
2024-06-13 00:00:00 2998055
2024-06-18 00:00:00 2128432
