date,count
2023-06-25,189500
2023-07-05,258212
2023-07-15,557308
2023-07-25,265721
2023-08-04,816887
2023-08-14,996104
2023-08-24,1094092
2023-09-03,2052042
2023-09-13,2137653
2023-09-23,1565601
2023-10-03,3314589
2023-10-13,2660500
2023-10-23,3648013
2023-11-02,4562852
2023-11-12,5203461
2023-11-22,5616336
2023-12-02,6373349
2023-12-12,6538396
2023-12-22,5747879
2024-01-01,6208309
2024-01-11,6916189
2024-01-21,8916147
2024-01-31,7058144
2024-02-10,7364648
2024-02-20,7798064
2024-03-01,9019388
2024-03-11,9828651
2024-03-21,9934268
2024-03-31,6740145
2024-04-10,6549972
2024-04-20,7350712
2024-04-30,6590656
2024-05-10,7421229
2024-05-20,6216922
2024-05-30,5448661
2024-06-09,5367607
2024-06-19,5582719
