id                                               name  count
 1             Altre Pubbliche Amministrazioni locali     11
 3                                             Comuni   7082
 9  Stazioni Appaltanti e Gestori di pubblici servizi      7
11                                       Enti privati      0
10                                  Università e AFAM      0
 8                                             Scuole      0
 5                     Province e Città Metropolitane      0
 2   Aziende sanitarie locali e Strutture di ricovero      0
 7                        Regioni e Province Autonome     45
 6           Altre Pubbliche Amministrazioni Centrali      1
12                 Pubbliche Amministrazioni Centrali    160
 4 Enti Nazionali di Previdenza ed Assistenza Sociale    127
