id,name,data,eserviceName,producerName,totalActiveConsumers,activeConsumersByMacroCategory,eserviceName,producerName,totalActiveConsumers,activeConsumersByMacroCategory
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'INAD CONSULTAZIONE DD', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 4, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 4}]}",INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,4.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 4}",INAD CONSULTAZIONE DD,Agenzia per L'Italia Digitale,4.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 4}]"
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'PCP - Servizi comuni', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]}",PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}",PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]"
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'PCP – Comunica appalto', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]}",PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}",PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]"
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'AUSA - Anagrafe Unica delle Stazioni Appaltanti', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]}",AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}",AUSA - Anagrafe Unica delle Stazioni Appaltanti,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]"
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'C006-servizioVerificaDichCittadinanza-approvazione_automatic', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]}",C006-servizioVerificaDichCittadinanza-approvazione_automatic,Ministero dell'Interno,1.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}",C006-servizioVerificaDichCittadinanza-approvazione_automatic,Ministero dell'Interno,1.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]"
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'PCP - Pubblica avviso', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]}",PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}",PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]"
2,Aziende sanitarie locali e Strutture di ricovero,"{'eserviceName': 'PCP - Comunica post pubblicazione', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]}",PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}",PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,1.0,"[{'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'count': 1}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'arch-common-service_SDG', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 9, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 9}]}",arch-common-service_SDG,Agenzia per L'Italia Digitale,9.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 9}",arch-common-service_SDG,Agenzia per L'Italia Digitale,9.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 9}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'evidence-broker_SDG', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 7, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 7}]}",evidence-broker_SDG,Agenzia per L'Italia Digitale,7.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 7}",evidence-broker_SDG,Agenzia per L'Italia Digitale,7.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 7}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'service-catalogue_SDG', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 6, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 6}]}",service-catalogue_SDG,Agenzia per L'Italia Digitale,6.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 6}",service-catalogue_SDG,Agenzia per L'Italia Digitale,6.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 6}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'data-service-directory_SDG', 'producerName': ""Agenzia per L'Italia Digitale"", 'totalActiveConsumers': 4, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 4}]}",data-service-directory_SDG,Agenzia per L'Italia Digitale,4.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 4}",data-service-directory_SDG,Agenzia per L'Italia Digitale,4.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 4}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'C030-servizioAccertamentoIdUnicoNazionale-approvazione_autom', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]}",C030-servizioAccertamentoIdUnicoNazionale-approvazione_autom,Ministero dell'Interno,2.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}",C030-servizioAccertamentoIdUnicoNazionale-approvazione_autom,Ministero dell'Interno,2.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'Servizio di collegamento imprese/PDND - Callback documenti', 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura', 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]}",Servizio di collegamento imprese/PDND - Callback documenti,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",2.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}",Servizio di collegamento imprese/PDND - Callback documenti,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",2.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'C019-servizioAccertamentoEsistenzaVita', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]}",C019-servizioAccertamentoEsistenzaVita,Ministero dell'Interno,2.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}",C019-servizioAccertamentoEsistenzaVita,Ministero dell'Interno,2.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'C030-servizioAccertamentoIdUnicoNazionale', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 2, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]}",C030-servizioAccertamentoIdUnicoNazionale,Ministero dell'Interno,2.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}",C030-servizioAccertamentoIdUnicoNazionale,Ministero dell'Interno,2.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 2}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'C029-servizioAccertamentoDatiAnagrafici - Inad', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 1}]}",C029-servizioAccertamentoDatiAnagrafici - Inad,Ministero dell'Interno,1.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 1}",C029-servizioAccertamentoDatiAnagrafici - Inad,Ministero dell'Interno,1.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 1}]"
12,Pubbliche Amministrazioni Centrali,"{'eserviceName': 'C029-servizioAccertamentoDatiAnagrafici', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 1, 'activeConsumersByMacroCategory': [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 1}]}",C029-servizioAccertamentoDatiAnagrafici,Ministero dell'Interno,1.0,"{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 1}",C029-servizioAccertamentoDatiAnagrafici,Ministero dell'Interno,1.0,"[{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'count': 1}]"
11,Enti privati,"{'eserviceName': 'C019-servizioAccertamentoEsistenzaVita-approvazione_automati', 'producerName': ""Ministero dell'Interno"", 'totalActiveConsumers': 65, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 65}]}",C019-servizioAccertamentoEsistenzaVita-approvazione_automati,Ministero dell'Interno,65.0,"{'id': '11', 'name': 'Enti privati', 'count': 65}",C019-servizioAccertamentoEsistenzaVita-approvazione_automati,Ministero dell'Interno,65.0,"[{'id': '11', 'name': 'Enti privati', 'count': 65}]"
11,Enti privati,"{'eserviceName': 'PCP - Servizi comuni', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 15, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 15}]}",PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,15.0,"{'id': '11', 'name': 'Enti privati', 'count': 15}",PCP - Servizi comuni,Autorita' Nazionale Anticorruzione - A.N.AC.,15.0,"[{'id': '11', 'name': 'Enti privati', 'count': 15}]"
11,Enti privati,"{'eserviceName': 'PCP – Comunica appalto', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 15, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 15}]}",PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,15.0,"{'id': '11', 'name': 'Enti privati', 'count': 15}",PCP – Comunica appalto,Autorita' Nazionale Anticorruzione - A.N.AC.,15.0,"[{'id': '11', 'name': 'Enti privati', 'count': 15}]"
11,Enti privati,"{'eserviceName': 'PCP - Comunica post pubblicazione', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 15, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 15}]}",PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,15.0,"{'id': '11', 'name': 'Enti privati', 'count': 15}",PCP - Comunica post pubblicazione,Autorita' Nazionale Anticorruzione - A.N.AC.,15.0,"[{'id': '11', 'name': 'Enti privati', 'count': 15}]"
11,Enti privati,"{'eserviceName': 'PCP - Pubblica avviso', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 14, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 14}]}",PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,14.0,"{'id': '11', 'name': 'Enti privati', 'count': 14}",PCP - Pubblica avviso,Autorita' Nazionale Anticorruzione - A.N.AC.,14.0,"[{'id': '11', 'name': 'Enti privati', 'count': 14}]"
11,Enti privati,"{'eserviceName': 'PCP - Gestione utenti', 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC."", 'totalActiveConsumers': 13, 'activeConsumersByMacroCategory': [{'id': '11', 'name': 'Enti privati', 'count': 13}]}",PCP - Gestione utenti,Autorita' Nazionale Anticorruzione - A.N.AC.,13.0,"{'id': '11', 'name': 'Enti privati', 'count': 13}",PCP - Gestione utenti,Autorita' Nazionale Anticorruzione - A.N.AC.,13.0,"[{'id': '11', 'name': 'Enti privati', 'count': 13}]"
