id,name,data
2,Aziende sanitarie locali e Strutture di ricovero,
12,Pubbliche Amministrazioni Centrali,"{'count': 63, 'producerName': ""Ministero dell'Interno""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 35, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}"
12,Pubbliche Amministrazioni Centrali,"{'count': 20, 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC.""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 14, 'producerName': 'Agenzia delle Entrate'}"
12,Pubbliche Amministrazioni Centrali,"{'count': 10, 'producerName': ""Agenzia per L'Italia Digitale""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 6, 'producerName': 'Ministero del Lavoro e delle Politiche Sociali'}"
12,Pubbliche Amministrazioni Centrali,"{'count': 5, 'producerName': ""MINISTERO DELL'UNIVERSITA' E DELLA RICERCA""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 5, 'producerName': 'Istituto centrale per la digitalizzazione del patrimonio culturale - Digital Library - Ministero della Cultura'}"
12,Pubbliche Amministrazioni Centrali,"{'count': 1, 'producerName': ""DPP - Dipartimento per l'amministrazione generale, per le politiche del personale dell'amministrazione civile e per le risorse strumentali e finanziarie - Ministero dell'Interno""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 1, 'producerName': 'Agenzia delle Entrate - Riscossione'}"
11,Enti privati,
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'count': 126, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'count': 1, 'producerName': ""Istituto Nazionale per l'Assicurazione contro gli Infortuni sul Lavoro - INAIL""}"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'count': 6, 'producerName': 'GEROPA SRL'}"
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'count': 1, 'producerName': 'PagoPa S.p.A.'}"
5,Province e Città Metropolitane,
3,Comuni,"{'count': 13, 'producerName': 'Comune di Brescia'}"
3,Comuni,"{'count': 11, 'producerName': 'Comune di Gallarate'}"
3,Comuni,"{'count': 11, 'producerName': 'Comune di Ancona'}"
3,Comuni,"{'count': 10, 'producerName': 'Comune di Torino'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Cortaccia sulla Strada del Vino'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Olbia'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Jesi'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Perugia'}"
3,Comuni,"{'count': 7, 'producerName': 'Comune di Poppi'}"
3,Comuni,"{'count': 7, 'producerName': 'Comune di Triggiano'}"
1,Altre Pubbliche Amministrazioni locali,"{'count': 10, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}"
1,Altre Pubbliche Amministrazioni locali,"{'count': 1, 'producerName': 'Unione Dei Comuni del Parteolla e Basso Campidano'}"
8,Scuole,
7,Regioni e Province Autonome,"{'count': 38, 'producerName': 'Regione Liguria'}"
7,Regioni e Province Autonome,"{'count': 4, 'producerName': 'Regione Piemonte'}"
7,Regioni e Province Autonome,"{'count': 1, 'producerName': 'Regione Lazio'}"
7,Regioni e Province Autonome,"{'count': 1, 'producerName': 'Regione Autonoma Friuli-Venezia Giulia'}"
7,Regioni e Province Autonome,"{'count': 1, 'producerName': 'Regione Marche'}"
10,Università e AFAM,
6,Altre Pubbliche Amministrazioni Centrali,"{'count': 1, 'producerName': 'Consiglio Nazionale Forense'}"
0,Totale,"{'count': 126, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}"
0,Totale,"{'count': 63, 'producerName': ""Ministero dell'Interno""}"
0,Totale,"{'count': 38, 'producerName': 'Regione Liguria'}"
0,Totale,"{'count': 35, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}"
0,Totale,"{'count': 20, 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC.""}"
0,Totale,"{'count': 14, 'producerName': 'Agenzia delle Entrate'}"
0,Totale,"{'count': 13, 'producerName': 'Comune di Brescia'}"
0,Totale,"{'count': 11, 'producerName': 'Comune di Gallarate'}"
0,Totale,"{'count': 11, 'producerName': 'Comune di Ancona'}"
0,Totale,"{'count': 10, 'producerName': 'Comune di Torino'}"
