id,name,data
0,Totale,"{'count': 8, 'producerName': 'Comune di Cortaccia sulla Strada del Vino'}"
0,Totale,"{'count': 9, 'producerName': 'Agenzia delle Entrate'}"
0,Totale,"{'count': 10, 'producerName': 'Comune di Torino'}"
0,Totale,"{'count': 11, 'producerName': 'Comune di Ancona'}"
0,Totale,"{'count': 11, 'producerName': 'Comune di Gallarate'}"
0,Totale,"{'count': 12, 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC.""}"
0,Totale,"{'count': 13, 'producerName': 'Comune di Brescia'}"
0,Totale,"{'count': 20, 'producerName': 'Regione Liguria'}"
0,Totale,"{'count': 35, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}"
0,Totale,"{'count': 8, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}"
1,Altre Pubbliche Amministrazioni locali,"{'count': 1, 'producerName': 'Unione Dei Comuni del Parteolla e Basso Campidano'}"
1,Altre Pubbliche Amministrazioni locali,"{'count': 8, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}"
2,Aziende sanitarie locali e Strutture di ricovero,
3,Comuni,"{'count': 11, 'producerName': 'Comune di Gallarate'}"
3,Comuni,"{'count': 13, 'producerName': 'Comune di Brescia'}"
3,Comuni,"{'count': 7, 'producerName': 'Comune di Triggiano'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Perugia'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Jesi'}"
3,Comuni,"{'count': 7, 'producerName': 'Comune di Poppi'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Cortaccia sulla Strada del Vino'}"
3,Comuni,"{'count': 10, 'producerName': 'Comune di Torino'}"
3,Comuni,"{'count': 8, 'producerName': 'Comune di Olbia'}"
3,Comuni,"{'count': 11, 'producerName': 'Comune di Ancona'}"
4,Enti Nazionali di Previdenza ed Assistenza Sociale,"{'count': 6, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}"
5,Province e Città Metropolitane,
6,Altre Pubbliche Amministrazioni Centrali,
7,Regioni e Province Autonome,"{'count': 1, 'producerName': 'Regione Marche'}"
7,Regioni e Province Autonome,"{'count': 1, 'producerName': 'Regione Autonoma Friuli-Venezia Giulia'}"
7,Regioni e Province Autonome,"{'count': 1, 'producerName': 'Regione Lazio'}"
7,Regioni e Province Autonome,"{'count': 20, 'producerName': 'Regione Liguria'}"
7,Regioni e Province Autonome,"{'count': 4, 'producerName': 'Regione Piemonte'}"
8,Scuole,
9,Stazioni Appaltanti e Gestori di pubblici servizi,"{'count': 6, 'producerName': 'GEROPA SRL'}"
10,Università e AFAM,
11,Enti privati,
12,Pubbliche Amministrazioni Centrali,"{'count': 1, 'producerName': ""DPP - Dipartimento per l'amministrazione generale, per le politiche del personale dell'amministrazione civile e per le risorse strumentali e finanziarie - Ministero dell'Interno""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 1, 'producerName': ""Ministero dell'Interno""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 4, 'producerName': ""Agenzia per L'Italia Digitale""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 5, 'producerName': 'Istituto centrale per la digitalizzazione del patrimonio culturale - Digital Library - Ministero della Cultura'}"
12,Pubbliche Amministrazioni Centrali,"{'count': 9, 'producerName': 'Agenzia delle Entrate'}"
12,Pubbliche Amministrazioni Centrali,"{'count': 12, 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC.""}"
12,Pubbliche Amministrazioni Centrali,"{'count': 35, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}"
