                                                                  producerName                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      macroCategories
Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura                                                                                                                                                                                                                                                                                                                                                                            [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 1, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}, {'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 1, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 2, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}, {'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'subscribersCount': 1, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 1, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 2, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}]
                                    MINISTERO DELL'UNIVERSITA' E DELLA RICERCA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 1, 'producerName': 'MINISTERO DELL'UNIVERSITA' E DELLA RICERCA'}, {'id': '10', 'name': 'Università e AFAM', 'subscribersCount': 1, 'producerName': 'MINISTERO DELL'UNIVERSITA' E DELLA RICERCA'}, {'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 1, 'producerName': 'MINISTERO DELL'UNIVERSITA' E DELLA RICERCA'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 2, 'producerName': 'MINISTERO DELL'UNIVERSITA' E DELLA RICERCA'}, {'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'subscribersCount': 1, 'producerName': 'MINISTERO DELL'UNIVERSITA' E DELLA RICERCA'}]
                                                        Ministero dell'Interno [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 12, 'producerName': 'Ministero dell'Interno'}, {'id': '10', 'name': 'Università e AFAM', 'subscribersCount': 1, 'producerName': 'Ministero dell'Interno'}, {'id': '11', 'name': 'Enti privati', 'subscribersCount': 78, 'producerName': 'Ministero dell'Interno'}, {'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 5, 'producerName': 'Ministero dell'Interno'}, {'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'subscribersCount': 3, 'producerName': 'Ministero dell'Interno'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 273, 'producerName': 'Ministero dell'Interno'}, {'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'subscribersCount': 2, 'producerName': 'Ministero dell'Interno'}, {'id': '5', 'name': 'Province e Città Metropolitane', 'subscribersCount': 6, 'producerName': 'Ministero dell'Interno'}, {'id': '6', 'name': 'Altre Pubbliche Amministrazioni Centrali', 'subscribersCount': 5, 'producerName': 'Ministero dell'Interno'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 5, 'producerName': 'Ministero dell'Interno'}, {'id': '8', 'name': 'Scuole', 'subscribersCount': 2, 'producerName': 'Ministero dell'Interno'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 2, 'producerName': 'Ministero dell'Interno'}]
                                Ministero del Lavoro e delle Politiche Sociali                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 2, 'producerName': 'Ministero del Lavoro e delle Politiche Sociali'}, {'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'subscribersCount': 1, 'producerName': 'Ministero del Lavoro e delle Politiche Sociali'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 5, 'producerName': 'Ministero del Lavoro e delle Politiche Sociali'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 1, 'producerName': 'Ministero del Lavoro e delle Politiche Sociali'}]
                                                                 PagoPa S.p.A.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 6, 'producerName': 'PagoPa S.p.A.'}, {'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'subscribersCount': 2, 'producerName': 'PagoPa S.p.A.'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 3685, 'producerName': 'PagoPa S.p.A.'}, {'id': '5', 'name': 'Province e Città Metropolitane', 'subscribersCount': 1, 'producerName': 'PagoPa S.p.A.'}, {'id': '6', 'name': 'Altre Pubbliche Amministrazioni Centrali', 'subscribersCount': 2, 'producerName': 'PagoPa S.p.A.'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 9, 'producerName': 'PagoPa S.p.A.'}]
                                  Istituto Nazionale Previdenza Sociale - INPS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 2, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}, {'id': '10', 'name': 'Università e AFAM', 'subscribersCount': 1, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}, {'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 1, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 13, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 1, 'producerName': 'Istituto Nazionale Previdenza Sociale - INPS'}]
                                                 Agenzia per L'Italia Digitale                                                                                                                                                                                                                                                 [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 27, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 12, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'subscribersCount': 10, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 314, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '4', 'name': 'Enti Nazionali di Previdenza ed Assistenza Sociale', 'subscribersCount': 2, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '5', 'name': 'Province e Città Metropolitane', 'subscribersCount': 19, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '6', 'name': 'Altre Pubbliche Amministrazioni Centrali', 'subscribersCount': 3, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 15, 'producerName': 'Agenzia per L'Italia Digitale'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 18, 'producerName': 'Agenzia per L'Italia Digitale'}]
                                Ministero delle infrastrutture e dei trasporti                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 1, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 2, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}]
                                                         Agenzia delle Entrate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [{'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 3, 'producerName': 'Agenzia delle Entrate'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 3, 'producerName': 'Agenzia delle Entrate'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 1, 'producerName': 'Agenzia delle Entrate'}]
                                  Autorita' Nazionale Anticorruzione - A.N.AC.                              [{'id': '1', 'name': 'Altre Pubbliche Amministrazioni locali', 'subscribersCount': 5, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '11', 'name': 'Enti privati', 'subscribersCount': 16, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '12', 'name': 'Pubbliche Amministrazioni Centrali', 'subscribersCount': 3, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '2', 'name': 'Aziende sanitarie locali e Strutture di ricovero', 'subscribersCount': 1, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '3', 'name': 'Comuni', 'subscribersCount': 14, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '5', 'name': 'Province e Città Metropolitane', 'subscribersCount': 3, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '6', 'name': 'Altre Pubbliche Amministrazioni Centrali', 'subscribersCount': 3, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '7', 'name': 'Regioni e Province Autonome', 'subscribersCount': 9, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '8', 'name': 'Scuole', 'subscribersCount': 4, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}, {'id': '9', 'name': 'Stazioni Appaltanti e Gestori di pubblici servizi', 'subscribersCount': 11, 'producerName': 'Autorita' Nazionale Anticorruzione - A.N.AC.'}]
