anno,macro_categoria_ente,notifiiche_inviate
Complessivo,Altri enti territoriali,310926
Complessivo,Comuni,16884935
Complessivo,Consorzi universitari,4355
Complessivo,Enti comunali,14169
Complessivo,"Ordini, collegi e consigli professionali",17370
Complessivo,Province,221700
Complessivo,Pubbliche amministrazioni centrali,8329105
Complessivo,Regioni,10806621
Complessivo,Riscossori e altro,5974006
Complessivo,Salute centrale,1838
Complessivo,Salute locale,88258
Complessivo,Università,7845
2026,Altri enti territoriali,172523
2026,Comuni,5590884
2026,Consorzi universitari,1911
2026,Enti comunali,14169
2026,"Ordini, collegi e consigli professionali",6385
2026,Province,88164
2026,Pubbliche amministrazioni centrali,2553636
2026,Regioni,2046910
2026,Riscossori e altro,1784058
2026,Salute centrale,1838
2026,Salute locale,43982
2026,Università,1539
2025,Altri enti territoriali,124307
2025,Comuni,8746400
2025,Consorzi universitari,2432
2025,"Ordini, collegi e consigli professionali",8938
2025,Province,123131
2025,Pubbliche amministrazioni centrali,3996634
2025,Regioni,3742889
2025,Riscossori e altro,2731443
2025,Salute locale,34244
2025,Università,4762
2024,Altri enti territoriali,14094
2024,Comuni,2467916
2024,Consorzi universitari,12
2024,"Ordini, collegi e consigli professionali",2047
2024,Province,10405
2024,Pubbliche amministrazioni centrali,1774879
2024,Regioni,3439842
2024,Riscossori e altro,1223516
2024,Salute locale,10029
2024,Università,1544
